"","loc.epochs.c","loc.epochs.r","loc.epochs.s","gl.epochs.c","gl.epochs.r","gl.epochs.s","ordered.loc.epochs.c","ordered.loc.epochs.r","ordered.loc.epochs.s"
"1",643,629,582,118,1629,126,571,585,565
"2",573,755,517,104,1627,128,519,561,486
"3",506,867,459,102,1617,122,490,586,415
"4",440,980,413,93,1653,125,506,635,359
"5",416,1060,378,85,1616,120,503,673,312
"6",380,1170,329,79,1585,120,522,690,281
"7",339,1214,302,80,1603,114,524,686,247
"8",301,1275,285,76,1628,107,514,711,242
"9",276,1330,270,75,1672,91,558,718,214
"10",261,1351,243,72,1653,91,552,748,203
"11",242,1411,223,72,1669,88,545,764,192
"12",243,1446,221,65,1648,85,547,785,183
"13",216,1466,217,58,1660,78,556,811,170
"14",195,1516,206,43,1730,73,541,793,169
"15",197,1488,172,41,1733,70,563,798,184
"16",196,1491,189,44,1742,63,597,801,178
"17",195,1522,187,47,1708,56,613,815,166
"18",189,1558,170,48,1715,52,639,830,167
"19",177,1583,154,46,1757,52,642,843,168
"20",162,1592,150,43,1738,52,635,818,172
"21",161,1587,131,35,1720,50,654,791,167
"22",152,1578,129,40,1743,49,634,812,165
"23",146,1607,129,38,1771,40,639,788,160
"24",154,1648,136,37,1760,38,654,814,154
"25",153,1617,131,38,1750,43,684,799,158
"26",148,1625,131,38,1794,37,677,825,156
"27",142,1652,127,37,1765,42,725,826,150
"28",145,1654,122,35,1763,40,750,798,155
"29",149,1685,132,25,1757,42,725,802,153
"30",141,1661,131,21,1759,42,721,809,151
"31",150,1641,143,25,1779,39,742,797,147
"32",150,1630,147,29,1775,34,728,807,155
"33",146,1654,145,21,1805,27,727,826,160
"34",143,1644,144,20,1796,25,752,805,164
"35",156,1591,141,20,1785,28,772,815,165
"36",143,1601,147,18,1817,22,787,813,156
"37",145,1602,140,18,1820,22,738,789,163
"38",146,1641,140,15,1818,21,704,787,165
"39",152,1610,130,17,1793,21,704,809,156
"40",149,1582,136,14,1796,18,718,816,155
"41",156,1602,132,12,1816,17,742,808,156
"42",154,1615,138,8,1865,18,737,786,153
"43",149,1639,145,4,1879,22,750,799,156
"44",141,1641,145,5,1869,23,771,804,162
"45",147,1634,148,5,1857,17,779,781,167
"46",154,1626,138,4,1905,15,799,787,164
"47",156,1609,144,3,1889,18,761,787,163
"48",154,1621,141,4,1881,16,739,811,166
"49",147,1624,142,1,1881,15,734,790,164
"50",146,1664,138,3,1866,12,720,780,148
"51",146,1667,130,4,1879,12,748,789,157
"52",146,1679,118,4,1854,8,757,783,156
"53",135,1663,124,2,1812,7,751,800,158
"54",137,1630,116,1,1849,8,753,777,156
"55",137,1626,116,2,1843,6,759,762,151
"56",140,1652,128,1,1836,6,777,778,150
"57",151,1629,128,1,1841,6,779,781,154
"58",153,1659,123,2,1803,5,783,799,155
"59",147,1645,118,1,1824,4,762,790,165
"60",152,1669,117,1,1846,2,750,778,162
"61",161,1642,126,1,1826,3,753,776,157
"62",158,1630,136,1,1816,2,738,776,158
"63",153,1629,135,1,1871,1,759,764,151
"64",153,1640,136,2,1843,1,746,784,151
"65",148,1633,133,1,1854,1,757,771,150
"66",138,1615,140,1,1875,1,793,808,158
"67",129,1644,150,1,1880,1,796,787,151
"68",120,1676,144,1,1877,2,793,809,149
"69",126,1641,148,1,1877,4,762,808,153
"70",126,1676,140,1,1861,2,765,803,150
"71",126,1685,130,0,1853,2,755,813,151
"72",141,1659,134,0,1901,0,745,817,145
"73",137,1675,143,0,1889,0,769,833,140
"74",144,1677,133,0,1845,0,799,827,145
"75",144,1672,137,0,1861,0,821,799,144
"76",142,1638,130,0,1860,0,813,775,140
"77",143,1681,125,0,1891,0,773,781,149
"78",141,1648,118,0,1908,0,780,765,148
"79",147,1662,121,0,1902,0,750,769,147
"80",150,1698,113,0,1900,0,755,772,143
"81",144,1661,119,0,1844,0,779,757,144
"82",136,1623,120,0,1881,0,786,768,152
"83",136,1644,122,0,1869,0,811,787,146
"84",145,1667,121,0,1900,0,800,791,155
"85",150,1636,121,0,1894,0,796,779,153
"86",140,1647,119,0,1885,0,823,795,146
"87",140,1652,108,0,1865,0,818,791,156
"88",147,1648,113,0,1853,0,818,779,157
"89",154,1677,110,0,1879,0,802,769,148
"90",156,1665,108,0,1865,0,792,777,157
"91",157,1650,107,0,1866,0,776,778,161
"92",153,1641,119,0,1877,0,771,782,159
"93",150,1674,118,0,1895,0,798,781,160
"94",156,1656,115,0,1920,0,800,748,162
"95",163,1609,113,0,1848,0,819,756,154
"96",156,1642,116,0,1869,0,786,770,148
"97",148,1671,119,0,1848,0,786,777,162
"98",152,1656,122,0,1804,0,779,804,152
"99",155,1687,127,0,1843,0,765,800,154
"100",145,1657,126,0,1849,0,772,768,148
"101",141,1653,126,0,1843,0,779,759,147
"102",145,1644,124,0,1886,0,766,762,152
"103",150,1686,127,0,1895,0,770,765,162
"104",153,1659,137,0,1863,0,789,787,165
"105",158,1649,128,0,1855,0,776,781,157
"106",158,1668,116,0,1848,0,765,743,160
"107",160,1644,115,0,1834,0,797,764,152
"108",153,1639,112,0,1870,0,802,745,154
