"","ordered.gl.epochs.c","ordered.gl.epochs.r","ordered.gl.epochs.s"
"1",607,570,607
"2",593,535,568
"3",600,466,581
"4",594,404,616
"5",578,378,640
"6",600,332,660
"7",611,301,684
"8",634,272,731
"9",651,271,759
"10",666,259,784
"11",674,222,821
"12",632,211,845
"13",637,186,894
"14",638,159,905
"15",638,165,885
"16",638,148,916
"17",627,136,936
"18",625,110,938
"19",617,106,916
"20",625,88,938
"21",638,73,965
"22",622,66,944
"23",627,68,936
"24",601,64,984
"25",607,60,982
"26",618,57,943
"27",622,55,931
"28",597,51,961
"29",615,43,934
"30",643,39,983
"31",651,40,1025
"32",611,35,1029
"33",597,37,1072
"34",579,36,1087
"35",575,38,1071
"36",566,32,1095
"37",586,25,1113
"38",591,24,1102
"39",554,23,1116
"40",568,22,1090
"41",563,18,1088
"42",531,15,1105
"43",552,15,1117
"44",553,11,1148
"45",532,9,1162
"46",520,8,1188
"47",526,7,1190
"48",512,7,1175
"49",516,5,1177
"50",516,4,1179
"51",506,6,1205
"52",514,8,1173
"53",479,5,1211
"54",457,6,1203
"55",454,4,1205
"56",469,2,1184
"57",436,1,1199
"58",398,0,1268
"59",370,0,1290
"60",382,0,1287
"61",373,0,1307
"62",353,0,1339
"63",330,0,1320
"64",297,0,1394
"65",258,0,1434
"66",260,0,1408
"67",262,0,1453
"68",265,0,1445
"69",239,0,1478
"70",222,0,1464
"71",246,0,1482
"72",226,0,1499
"73",233,0,1517
"74",203,0,1493
"75",228,0,1457
"76",213,0,1465
"77",206,0,1499
"78",192,0,1508
"79",193,0,1536
"80",190,0,1517
"81",187,0,1488
"82",200,0,1515
"83",189,0,1477
"84",189,0,1497
"85",186,0,1520
"86",185,0,1547
"87",189,0,1538
"88",198,0,1521
"89",178,0,1513
"90",165,0,1554
"91",156,0,1537
"92",141,0,1529
"93",151,0,1504
"94",153,0,1560
"95",167,0,1577
"96",169,0,1530
"97",149,0,1548
"98",133,0,1543
"99",126,0,1590
"100",122,0,1591
"101",122,0,1592
"102",111,0,1559
"103",112,0,1527
"104",126,0,1549
"105",125,0,1618
"106",133,0,1590
"107",129,0,1566
"108",113,0,1584
"109",126,0,1604
"110",136,0,1592
"111",131,0,1568
"112",146,0,1549
"113",133,0,1534
"114",129,0,1509
"115",139,0,1551
"116",132,0,1565
"117",145,0,1589
"118",131,0,1586
"119",124,0,1620
"120",129,0,1626
"121",120,0,1608
"122",120,0,1609
"123",132,0,1611
"124",138,0,1583
"125",153,0,1574
"126",161,0,1559
"127",156,0,1559
"128",143,0,1576
"129",148,0,1567
"130",147,0,1568
"131",136,0,1510
"132",152,0,1574
"133",155,0,1562
"134",165,0,1524
"135",178,0,1507
"136",194,0,1541
"137",208,0,1515
"138",200,0,1500
"139",201,0,1543
"140",222,0,1495
"141",221,0,1510
"142",229,0,1494
"143",226,0,1464
"144",222,0,1479
"145",220,0,1473
"146",219,0,1493
"147",218,0,1472
"148",197,0,1475
"149",193,0,1500
"150",175,0,1525
"151",184,0,1513
"152",188,0,1538
"153",168,0,1525
"154",181,0,1512
"155",174,0,1540
"156",171,0,1517
"157",156,0,1507
"158",140,0,1520
"159",151,0,1542
"160",153,0,1542
"161",161,0,1563
"162",164,0,1578
"163",154,0,1536
"164",152,0,1555
"165",148,0,1575
"166",141,0,1613
"167",152,0,1636
"168",155,0,1595
"169",166,0,1584
"170",170,0,1562
"171",178,0,1543
"172",163,0,1532
"173",162,0,1555
"174",158,0,1543
"175",159,0,1544
"176",173,0,1541
"177",171,0,1533
"178",177,0,1517
"179",172,0,1519
"180",174,0,1573
"181",190,0,1576
"182",166,0,1557
"183",181,0,1565
"184",188,0,1559
"185",183,0,1515
"186",184,0,1520
"187",176,0,1543
"188",182,0,1540
"189",177,0,1531
"190",160,0,1523
"191",146,0,1538
"192",135,0,1562
"193",138,0,1554
"194",128,0,1551
"195",137,0,1544
"196",139,0,1525
"197",128,0,1567
"198",126,0,1578
"199",123,0,1579
"200",126,0,1564
"201",126,0,1588
"202",138,0,1549
"203",149,0,1568
"204",155,0,1600
"205",140,0,1576
"206",135,0,1561
"207",144,0,1552
"208",132,0,1569
"209",130,0,1565
"210",115,0,1602
"211",111,0,1610
"212",109,0,1627
"213",95,0,1634
"214",108,0,1625
"215",89,0,1668
"216",97,0,1696
"217",101,0,1641
"218",105,0,1610
"219",106,0,1637
"220",121,0,1605
"221",114,0,1579
"222",101,0,1570
"223",103,0,1600
"224",101,0,1587
"225",110,0,1610
"226",109,0,1608
"227",109,0,1530
"228",112,0,1572
"229",115,0,1583
"230",111,0,1579
"231",111,0,1607
"232",112,0,1630
"233",99,0,1612
"234",88,0,1646
"235",85,0,1642
"236",82,0,1635
"237",77,0,1634
"238",67,0,1645
"239",62,0,1665
"240",56,0,1703
"241",47,0,1675
"242",46,0,1685
"243",46,0,1679
"244",43,0,1603
"245",54,0,1613
"246",56,0,1656
"247",45,0,1668
"248",47,0,1648
"249",38,0,1678
"250",36,0,1712
"251",30,0,1713
"252",33,0,1709
"253",37,0,1697
"254",36,0,1635
"255",36,0,1605
"256",33,0,1600
"257",33,0,1686
"258",33,0,1672
"259",35,0,1683
"260",35,0,1714
"261",31,0,1687
"262",32,0,1700
"263",30,0,1678
"264",29,0,1687
"265",25,0,1703
"266",23,0,1704
"267",24,0,1733
"268",17,0,1688
"269",18,0,1696
"270",17,0,1665
"271",18,0,1662
"272",22,0,1671
"273",19,0,1695
"274",15,0,1673
"275",13,0,1685
"276",10,0,1719
"277",12,0,1736
"278",7,0,1749
"279",5,0,1740
"280",6,0,1748
"281",10,0,1719
"282",12,0,1709
"283",16,0,1729
"284",10,0,1705
"285",10,0,1726
"286",7,0,1714
"287",5,0,1694
"288",10,0,1686
"289",10,0,1709
"290",10,0,1695
"291",10,0,1704
"292",6,0,1681
"293",4,0,1709
"294",5,0,1675
"295",5,0,1685
"296",5,0,1691
"297",9,0,1669
"298",7,0,1677
"299",6,0,1756
"300",6,0,1747
"301",5,0,1738
"302",6,0,1744
"303",5,0,1708
"304",5,0,1662
"305",5,0,1666
"306",4,0,1710
"307",3,0,1730
"308",0,0,1709
"309",0,0,1720
"310",0,0,1719
"311",0,0,1714
"312",0,0,1722
"313",0,0,1711
"314",0,0,1732
"315",0,0,1736
"316",0,0,1752
"317",0,0,1698
"318",0,0,1712
"319",0,0,1739
"320",0,0,1726
"321",0,0,1709
"322",0,0,1725
"323",0,0,1699
"324",0,0,1710
"325",0,0,1714
"326",0,0,1704
"327",0,0,1724
"328",0,0,1705
"329",0,0,1708
"330",0,0,1713
"331",0,0,1711
"332",0,0,1714
"333",0,0,1752
"334",0,0,1766
"335",0,0,1749
"336",0,0,1737
"337",0,0,1714
"338",0,0,1740
"339",0,0,1747
"340",0,0,1717
"341",0,0,1722
"342",0,0,1690
"343",0,0,1684
"344",0,0,1653
"345",0,0,1691
"346",0,0,1712
"347",0,0,1694
"348",0,0,1737
"349",0,0,1691
"350",0,0,1685
"351",0,0,1683
"352",0,0,1700
"353",0,0,1701
"354",0,0,1731
"355",0,0,1757
"356",0,0,1790
"357",0,0,1748
"358",0,0,1740
"359",0,0,1712
"360",0,0,1714
"361",0,0,1744
"362",0,0,1713
"363",0,0,1742
"364",0,0,1768
"365",0,0,1734
"366",0,0,1705
"367",0,0,1727
"368",0,0,1701
"369",0,0,1721
"370",0,0,1706
"371",0,0,1716
"372",0,0,1701
"373",0,0,1688
"374",0,0,1692
"375",0,0,1709
"376",0,0,1682
"377",0,0,1687
"378",0,0,1717
"379",0,0,1666
"380",0,0,1702
"381",0,0,1721
"382",0,0,1709
"383",0,0,1704
"384",0,0,1673
"385",0,0,1710
"386",0,0,1700
"387",0,0,1736
"388",0,0,1712
"389",0,0,1715
"390",0,0,1741
"391",0,0,1711
"392",0,0,1706
"393",0,0,1732
"394",0,0,1731
"395",0,0,1733
"396",0,0,1747
"397",0,0,1724
"398",0,0,1701
"399",0,0,1743
"400",0,0,1710
"401",0,0,1747
"402",0,0,1711
"403",0,0,1743
"404",0,0,1728
"405",0,0,1684
"406",0,0,1718
"407",0,0,1703
"408",0,0,1703
"409",0,0,1701
"410",0,0,1691
"411",0,0,1708
"412",0,0,1720
"413",0,0,1709
"414",0,0,1738
"415",0,0,1780
"416",0,0,1722
"417",0,0,1766
"418",0,0,1769
"419",0,0,1735
"420",0,0,1696
"421",0,0,1693
"422",0,0,1700
"423",0,0,1737
"424",0,0,1688
"425",0,0,1703
"426",0,0,1733
"427",0,0,1713
"428",0,0,1673
"429",0,0,1684
"430",0,0,1703
"431",0,0,1666
"432",0,0,1671
"433",0,0,1704
"434",0,0,1774
"435",0,0,1711
"436",0,0,1743
"437",0,0,1746
"438",0,0,1728
"439",0,0,1718
"440",0,0,1704
"441",0,0,1729
"442",0,0,1667
"443",0,0,1700
"444",0,0,1699
"445",0,0,1753
"446",0,0,1717
"447",0,0,1720
"448",0,0,1738
"449",0,0,1739
"450",0,0,1733
"451",0,0,1744
"452",0,0,1735
"453",0,0,1704
"454",0,0,1680
"455",0,0,1703
"456",0,0,1697
"457",0,0,1693
"458",0,0,1696
"459",0,0,1706
"460",0,0,1753
"461",0,0,1719
"462",0,0,1714
"463",0,0,1746
"464",0,0,1726
"465",0,0,1701
"466",0,0,1722
"467",0,0,1742
"468",0,0,1723
"469",0,0,1712
"470",0,0,1725
"471",0,0,1713
"472",0,0,1704
"473",0,0,1686
"474",0,0,1734
"475",0,0,1745
"476",0,0,1730
"477",0,0,1696
"478",0,0,1718
"479",0,0,1698
"480",0,0,1729
"481",0,0,1735
"482",0,0,1739
"483",0,0,1712
"484",0,0,1715
"485",0,0,1712
"486",0,0,1729
"487",0,0,1713
"488",0,0,1689
"489",0,0,1705
"490",0,0,1738
"491",0,0,1691
"492",0,0,1711
"493",0,0,1709
"494",0,0,1759
"495",0,0,1744
"496",0,0,1704
"497",0,0,1715
"498",0,0,1724
"499",0,0,1737
"500",0,0,1717
"501",0,0,1691
